Age (bin),Age-Groups,Customer ID,Customer Profile,Purchase Class,Purchase Frequency (bin),Spending Score (bin),Age,Annual Income,Annual Income Rounded,Column Legend,High Value Count,Purchase Freq Rounded,Purchase Frequency,Row Legend,Spending Efficiency,Spending Score,Total_Value,Transaction Amount
30,30-49,1001,Standard,Occasional,0,60,34,28696.1344,28696.13,2,0,0,0,2,0.002432383,69.8,0,118.57
30,30-49,1001,Standard,Occasional,8,30,34,52328.9002,52328.9,2,0,8,8,2,0.000580941,30.4,966.08,120.76
40,30-49,1001,Standard,Regular,14,70,40,64277.1318,64277.13,2,0,15,15,2,0.001140374,73.3,1260.6,84.04
20,18-29,1002,Standard,Fanatic,28,20,28,50361.9459,50361.95,2,0,29,29,2,0.000581788,29.3,2141.65,73.85
40,30-49,1002,Standard,Occasional,8,40,49,63963.5295,63963.53,2,0,8,8,2,0.000656624,42,750.24,93.78
30,30-49,1004,Standard,Fanatic,26,40,35,55116.3789,55116.38,2,0,26,26,2,0.00077291,42.6,2285.66,87.91
40,30-49,1004,Standard,Fanatic,26,30,41,57612.947,57612.95,2,0,26,26,2,0.000631802,36.4,2491.06,95.81
30,30-49,1005,Standard,Fanatic,20,70,38,64304.1038,64304.1,2,0,21,21,2,0.00119277,76.7,2630.88,125.28
20,18-29,1006,Standard,Regular,12,70,22,32433.5327,32433.53,2,0,13,13,2,0.002287756,74.2,1354.73,104.21
20,18-29,1007,Standard,Regular,12,60,28,20341.9728,20341.97,2,0,12,12,2,0.003131456,63.7,891.24,74.27
60,50-64,1007,Standard,Fanatic,26,20,61,66033.3768,66033.38,2,0,26,26,2,0.000433114,28.6,2842.06,109.31
30,30-49,1009,Standard,Regular,18,30,37,66274.0706,66274.07,2,0,19,19,2,0.00046021,30.5,2204.19,116.01
30,30-49,1009,Platinum,Fanatic,26,90,32,75585.9849,75585.98,,1,26,26,,0.001266108,95.7,2529.8,97.3
30,30-49,1009,Standard,Occasional,6,70,33,67960.284,67960.28,2,0,7,7,2,0.001158029,78.7,744.38,106.34
30,30-49,1010,Standard,Regular,16,40,34,42150.2061,42150.21,2,0,16,16,2,0.000960849,40.5,2195.04,137.19
20,18-29,1011,Impulsive,Fanatic,24,90,23,58634.6605,58634.66,,0,24,24,,0.001592914,93.4,2304,96
20,18-29,1011,Standard,Occasional,0,0,23,33468.5645,33468.56,2,0,1,1,2,6.57E-05,2.2,110.44,110.44
20,18-29,1011,Standard,Regular,14,30,28,27717.719,27717.72,2,0,14,14,2,0.001306024,36.2,1344.84,96.06
40,30-49,1011,Standard,Occasional,6,30,44,56534.6482,56534.65,2,0,7,7,2,0.000635009,35.9,669.55,95.65
40,30-49,1011,Standard,Occasional,6,30,44,56534.6482,56534.65,2,0,7,7,2,0.000635009,35.9,669.55,95.65
30,30-49,1012,Platinum,Fanatic,22,70,36,71273.7519,71273.75,,1,22,22,,0.000984935,70.2,2229.48,101.34
30,30-49,1012,Platinum,Fanatic,22,70,36,71522.0662,71522.07,,1,23,23,,0.001055618,75.5,2016.18,87.66
20,18-29,1013,Standard,Fanatic,24,40,28,48512.0621,48512.06,2,0,25,25,2,0.001026549,49.8,2628.25,105.13
20,18-29,1016,Standard,Regular,14,30,22,64904.5446,64904.54,2,0,14,14,2,0.00059626,38.7,1460.9,104.35
30,30-49,1016,Standard,Occasional,8,50,36,47958.1425,47958.14,2,0,8,8,2,0.001132237,54.3,723.36,90.42
20,18-29,1018,Standard,Occasional,2,30,24,61693.4553,61693.46,2,0,3,3,2,0.000560837,34.6,274.77,91.59
30,30-49,1018,Standard,Regular,18,50,33,49334.7068,49334.71,2,0,19,19,2,0.00104389,51.5,1743.06,91.74
40,30-49,1018,Impulsive,Fanatic,24,90,40,57117.3301,57117.33,,0,25,25,,0.001707013,97.5,2545.5,101.82
